recipe_id,carbs,dairy,meat,oil,saucy,sugar,veg
237479,,3.0,,,,1.0,1.0
237614,,2.0,2.0,,,,3.0
237696,,4.0,1.0,,,3.0,1.0
237907,,3.0,,,,1.0,1.0
238254,,3.0,,,,2.0,
238453,,,,,10.0,,
238574,1.0,1.0,,1.0,,,1.0
239093,,,,,,1.0,
239260,1.0,,3.0,1.0,,4.0,2.0
239284,,3.0,1.0,,,2.0,1.0
239473,1.0,,1.0,1.0,,1.0,1.0
239496,,1.0,2.0,,,,2.0
239630,,1.0,1.0,,,,3.0
239794,,1.0,,,,1.0,
240813,,,,,7.0,,
240941,,2.0,1.0,,,1.0,
241368,,,,,14.0,,
241388,,1.0,,,,1.0,
241509,,,,,,1.0,2.0
241641,,,,,,,3.0
241821,,1.0,,,,,
241883,1.0,1.0,1.0,,,,1.0
242074,1.0,2.0,,,,2.0,2.0
242252,,,,,,,2.0
242281,,,,,5.0,,
242304,1.0,,,1.0,,,2.0
244668,,,,,,1.0,
244721,,,1.0,,,,3.0
244833,,,,,,1.0,2.0
244843,,2.0,1.0,,,2.0,
244885,,1.0,1.0,,,,
244932,,,,,10.0,,
245023,,,,,11.0,,
245145,,2.0,1.0,,,1.0,
245290,,1.0,1.0,1.0,,,
245539,,1.0,2.0,,,,
245665,,,,,8.0,,
245747,,2.0,,1.0,,1.0,
245755,,3.0,,1.0,,,
245877,,,1.0,1.0,,1.0,2.0
245934,,1.0,,,,2.0,
245973,,,1.0,,,1.0,2.0
245986,,4.0,,,,,1.0
246125,,1.0,,,,,
246165,1.0,,,1.0,,1.0,3.0
246249,,,,1.0,,,1.0
246293,,,,,9.0,,
246406,,,,,,,2.0
246503,3.0,,,1.0,,2.0,1.0
246530,,,,,6.0,,
246614,,1.0,,,,,2.0
246883,,3.0,,,,1.0,
246886,1.0,2.0,1.0,,,1.0,1.0
246951,,,,,6.0,,
247041,,,,,,1.0,
247289,,1.0,,,,,3.0
254548,,3.0,,,,,
254865,,,,,6.0,,
255075,,1.0,,1.0,,,1.0
255198,,,,,,1.0,1.0
255200,,2.0,,1.0,,,2.0
255238,,,,,13.0,,
255259,,,1.0,1.0,,,5.0
255329,,1.0,2.0,1.0,,,1.0
255553,,1.0,2.0,,,,1.0
255742,,2.0,1.0,1.0,,1.0,
255901,1.0,1.0,1.0,,,,
256181,,1.0,,,,,
256376,,3.0,2.0,1.0,,,1.0
256784,,,,,6.0,,
257355,,1.0,,1.0,,1.0,6.0
257383,,,,,,1.0,2.0
257546,,1.0,1.0,,,,
257694,1.0,,1.0,,,,2.0
257944,,2.0,1.0,1.0,,1.0,
257953,,,,,16.0,,
258014,,2.0,,2.0,,,2.0
258633,,,1.0,1.0,,,4.0
258670,,1.0,,,,,
258686,,1.0,,,,,
258773,,6.0,,,,2.0,
259135,,,,,12.0,,
259251,,5.0,1.0,1.0,,2.0,
259274,,,,,,,5.0
259740,,1.0,1.0,1.0,,,3.0
260090,,2.0,1.0,,,,1.0
260502,1.0,1.0,1.0,1.0,,,4.0
260701,,5.0,2.0,1.0,,,3.0
261105,,,,,9.0,,
261188,,,1.0,1.0,,,3.0
262395,,,,2.0,,1.0,2.0
