recipe_id,carbs,dairy,meat,oil,sugar,veg
237569,,,,,2.0,2.0
237728,,1.0,,,3.0,1.0
238042,,3.0,,,,
238287,,2.0,1.0,,,3.0
238290,,1.0,1.0,,,
238489,,,,1.0,1.0,1.0
238806,1.0,,,1.0,,2.0
239023,,1.0,1.0,1.0,,
239078,,1.0,1.0,,,1.0
239080,,1.0,,,,2.0
239254,1.0,3.0,1.0,1.0,2.0,
239264,,1.0,1.0,,,
239433,,3.0,1.0,3.0,,
239466,,,,1.0,,3.0
239476,,,1.0,1.0,,3.0
239633,,,2.0,,,3.0
239689,,1.0,1.0,,,1.0
239972,,2.0,1.0,,2.0,1.0
240367,1.0,,,,1.0,1.0
240527,1.0,1.0,2.0,1.0,,1.0
240704,1.0,3.0,1.0,1.0,,1.0
240730,,2.0,,,1.0,
240751,,5.0,,1.0,,1.0
240806,,,1.0,,,
240859,,4.0,,,,3.0
241169,,1.0,,,,
241262,,1.0,,,,1.0
241330,,1.0,1.0,,,
241432,,3.0,1.0,,3.0,
241488,,,,1.0,1.0,1.0
241572,,,1.0,,,1.0
241584,,2.0,1.0,,,
241809,,1.0,1.0,1.0,,3.0
241947,,,,,,4.0
242017,,,,,1.0,1.0
242038,,1.0,1.0,,2.0,1.0
242210,,,,,,2.0
242229,2.0,,,1.0,,
242431,,1.0,,1.0,,2.0
244245,,,1.0,2.0,,1.0
244513,,,,,,2.0
244562,,,,1.0,,2.0
244594,,1.0,,1.0,1.0,1.0
244665,,1.0,,,,
245256,,2.0,1.0,,,5.0
245914,1.0,1.0,1.0,1.0,2.0,
246060,,1.0,,,,
246599,,3.0,,,,2.0
246601,,4.0,,,,
246654,,2.0,,,,2.0
247156,,,2.0,1.0,,1.0
247360,,,,,1.0,3.0
247382,,4.0,1.0,1.0,2.0,
247395,,1.0,1.0,,,1.0
254768,,1.0,,,1.0,3.0
254946,2.0,,,1.0,,
255568,,,1.0,,,3.0
255887,,1.0,,,1.0,
256191,,2.0,2.0,,,2.0
256209,,1.0,1.0,,,2.0
256298,,1.0,2.0,1.0,2.0,4.0
256624,,2.0,,,,1.0
256819,,,,,1.0,2.0
256914,1.0,,1.0,1.0,4.0,3.0
257277,,,1.0,1.0,1.0,3.0
257436,,1.0,,1.0,1.0,
257453,,1.0,,1.0,,
258025,,1.0,,1.0,,1.0
258473,,1.0,,,1.0,
258494,1.0,,,,2.0,1.0
258747,,2.0,,,1.0,
258790,,1.0,,,1.0,1.0
258962,,1.0,1.0,,,2.0
259381,,,,,1.0,1.0
259999,,,,,1.0,3.0
260307,,6.0,3.0,,1.0,4.0
260681,,1.0,,1.0,1.0,1.0
261048,,2.0,,,,1.0
261054,1.0,2.0,1.0,,1.0,2.0
261303,,1.0,1.0,,,3.0
